timestamp,temperature,motor_current,vibration,speed,pressure,state
2026-01-01T06:00:00,180.993,4.431,0.8648,167.62,4.453,normal
2026-01-01T06:00:01,179.532,5.29,0.8767,157.65,4.609,normal
2026-01-01T06:00:02,179.073,4.267,0.8242,150.43,4.155,normal
2026-01-01T06:00:03,178.875,3.994,0.8314,155.46,4.218,normal
2026-01-01T06:00:04,182.931,4.387,0.8068,152.88,4.391,normal
2026-01-01T06:00:05,180.222,3.925,0.8376,157.0,4.442,normal
2026-01-01T06:00:06,178.797,5.426,0.7987,154.71,4.665,normal
2026-01-01T06:00:07,177.558,4.604,0.604,153.36,4.539,normal
2026-01-01T06:00:08,181.477,4.586,0.7884,158.49,4.204,normal
2026-01-01T06:00:09,178.56,4.27,0.9057,161.72,4.147,normal
2026-01-01T06:00:10,180.648,4.307,0.7323,163.06,4.706,normal
2026-01-01T06:00:11,181.863,4.08,0.7691,161.66,4.695,normal
2026-01-01T06:00:12,179.042,4.407,0.6894,154.02,4.663,normal
2026-01-01T06:00:13,182.712,4.464,0.9004,161.81,4.371,normal
2026-01-01T06:00:14,180.723,5.269,0.7964,167.82,3.976,normal
2026-01-01T06:00:15,181.644,4.544,0.7701,160.46,4.102,normal
2026-01-01T06:00:16,179.561,4.679,0.9478,157.41,4.338,normal
2026-01-01T06:00:17,178.996,4.958,0.8329,157.35,4.603,normal
2026-01-01T06:00:18,180.194,4.984,0.7298,158.36,4.422,normal
2026-01-01T06:00:19,177.073,4.648,0.8261,160.03,4.453,normal
2026-01-01T06:00:20,177.169,4.29,0.7657,155.99,4.468,normal
2026-01-01T06:00:21,180.808,5.443,0.8175,161.29,4.485,normal
2026-01-01T06:00:22,176.162,4.487,0.806,172.32,4.462,normal
2026-01-01T06:00:23,180.603,4.483,0.6831,165.71,4.65,normal
2026-01-01T06:00:24,181.582,4.045,0.9403,152.99,4.617,normal
2026-01-01T06:00:25,184.381,4.005,0.7434,160.5,4.399,normal
2026-01-01T06:00:26,176.899,4.534,0.6938,162.37,4.316,normal
2026-01-01T06:00:27,183.1,4.108,0.7678,164.07,4.254,normal
2026-01-01T06:00:28,180.455,5.154,0.6393,160.92,4.552,normal
2026-01-01T06:00:29,181.564,3.882,0.668,162.61,4.559,normal
2026-01-01T06:00:30,180.501,4.673,0.732,161.16,4.559,normal
2026-01-01T06:00:31,178.571,5.433,0.8474,154.04,4.631,normal
2026-01-01T06:00:32,178.051,4.894,0.9159,155.9,4.693,normal
2026-01-01T06:00:33,180.826,4.911,0.9897,158.77,4.349,normal
2026-01-01T06:00:34,178.221,4.092,0.7923,161.71,4.555,normal
2026-01-01T06:00:35,181.654,4.507,0.9454,158.68,5.044,normal
2026-01-01T06:00:36,181.251,4.071,0.6929,162.41,4.455,normal
2026-01-01T06:00:37,181.428,4.737,0.7927,155.77,4.197,normal
2026-01-01T06:00:38,179.107,4.928,0.8214,153.77,4.535,normal
2026-01-01T06:00:39,180.771,4.058,0.8154,160.29,4.271,normal
2026-01-01T06:00:40,180.716,4.78,0.9083,165.27,4.224,normal
2026-01-01T06:00:41,178.124,4.758,0.8514,162.58,5.271,normal
2026-01-01T06:00:42,181.142,5.068,0.8954,163.26,4.437,normal
2026-01-01T06:00:43,181.518,4.114,0.7763,157.57,4.516,normal
2026-01-01T06:00:44,184.629,3.566,0.8686,151.94,4.406,normal
2026-01-01T06:00:45,182.178,4.532,0.6922,156.42,4.636,normal
2026-01-01T06:00:46,178.539,4.608,0.8046,156.74,4.929,normal
2026-01-01T06:00:47,181.268,3.487,0.8186,156.69,4.67,normal
2026-01-01T06:00:48,178.415,4.443,0.8505,164.33,4.26,normal
2026-01-01T06:00:49,179.331,4.263,0.7347,168.83,4.581,normal
2026-01-01T06:00:50,177.478,4.959,1.0122,165.16,4.196,normal
2026-01-01T06:00:51,179.032,5.133,0.7292,162.22,4.655,normal
2026-01-01T06:00:52,178.146,4.47,0.4759,154.88,4.449,normal
2026-01-01T06:00:53,177.504,5.316,0.657,157.8,4.526,normal
2026-01-01T06:00:54,182.883,3.782,0.9163,160.05,4.304,normal
2026-01-01T06:00:55,180.924,4.6,0.74,160.35,4.423,normal
2026-01-01T06:00:56,180.227,4.831,0.9586,153.81,4.927,normal
2026-01-01T06:00:57,176.096,4.424,0.8588,161.4,4.375,normal
2026-01-01T06:00:58,179.584,4.253,0.7411,164.25,4.571,normal
2026-01-01T06:00:59,178.614,4.95,0.8307,164.06,4.626,normal
2026-01-01T06:01:00,178.342,4.22,0.8747,163.05,4.496,normal
2026-01-01T06:01:01,180.235,5.139,0.7408,162.74,4.46,normal
2026-01-01T06:01:02,179.565,5.049,0.8825,164.07,4.761,normal
2026-01-01T06:01:03,180.042,4.841,0.769,161.62,4.474,normal
2026-01-01T06:01:04,180.194,4.798,0.7182,170.46,4.299,normal
2026-01-01T06:01:05,177.572,5.079,0.8792,163.12,4.626,normal
2026-01-01T06:01:06,179.976,4.051,0.8076,156.61,4.695,normal
2026-01-01T06:01:07,179.706,4.087,0.7679,162.06,4.387,normal
2026-01-01T06:01:08,178.356,4.622,0.8245,157.47,4.406,normal
2026-01-01T06:01:09,180.464,3.776,0.6593,156.41,4.457,normal
2026-01-01T06:01:10,180.622,5.238,0.8858,159.2,4.496,normal
2026-01-01T06:01:11,177.995,4.491,0.7711,161.61,4.335,normal
2026-01-01T06:01:12,181.039,5.266,0.7891,162.01,4.638,normal
2026-01-01T06:01:13,179.198,4.612,0.8013,160.49,4.345,normal
2026-01-01T06:01:14,180.049,4.749,0.9451,164.8,4.931,normal
2026-01-01T06:01:15,178.465,4.936,0.8183,170.95,4.338,normal
2026-01-01T06:01:16,178.321,4.2,0.5876,157.37,4.348,normal
2026-01-01T06:01:17,180.301,4.671,0.9876,164.75,4.385,normal
2026-01-01T06:01:18,178.203,4.746,0.668,169.16,4.736,normal
2026-01-01T06:01:19,179.062,3.643,0.9354,159.43,4.748,normal
2026-01-01T06:01:20,176.811,4.2,0.8005,160.23,4.41,normal
2026-01-01T06:01:21,181.246,3.966,0.7858,160.6,4.603,normal
2026-01-01T06:01:22,181.423,3.938,0.6466,166.39,4.566,normal
2026-01-01T06:01:23,178.503,5.276,0.8116,165.9,4.514,normal
2026-01-01T06:01:24,184.121,5.378,0.7751,164.86,4.629,normal
2026-01-01T06:01:25,182.737,4.018,0.8686,165.29,4.148,normal
2026-01-01T06:01:26,177.633,3.48,0.7731,163.59,4.8,normal
2026-01-01T06:01:27,180.148,5.314,0.662,151.48,4.489,normal
2026-01-01T06:01:28,180.768,4.484,0.5933,159.55,4.239,normal
2026-01-01T06:01:29,181.339,4.683,0.706,157.43,4.288,normal
2026-01-01T06:01:30,179.875,4.978,0.7014,162.52,4.394,normal
2026-01-01T06:01:31,178.414,4.446,0.6965,157.23,4.26,normal
2026-01-01T06:01:32,183.929,4.518,0.73,161.07,4.478,normal
2026-01-01T06:01:33,179.558,4.807,0.8758,157.35,4.385,normal
2026-01-01T06:01:34,179.45,3.349,0.6485,166.83,4.829,normal
2026-01-01T06:01:35,179.502,4.788,0.8311,175.39,4.724,normal
2026-01-01T06:01:36,179.744,4.022,0.6394,161.02,4.349,normal
2026-01-01T06:01:37,177.155,4.177,0.6918,168.44,4.676,normal
2026-01-01T06:01:38,179.984,5.24,0.8077,155.69,4.805,normal
2026-01-01T06:01:39,181.078,3.981,0.781,155.62,4.223,normal
2026-01-01T06:01:40,181.852,5.455,0.6601,162.81,4.37,normal
2026-01-01T06:01:41,179.026,4.204,0.7136,160.24,4.334,normal
2026-01-01T06:01:42,180.541,4.475,0.7761,155.46,4.385,normal
2026-01-01T06:01:43,181.511,4.75,0.7022,160.5,4.65,normal
2026-01-01T06:01:44,176.661,4.772,0.7337,162.85,4.347,normal
2026-01-01T06:01:45,176.39,3.686,0.8048,161.3,4.319,normal
2026-01-01T06:01:46,181.277,3.669,0.7934,153.94,4.37,normal
