timestamp,machine_id,state,lem_1,thermistor_1,encoder_!,ct_1
2026-01-01T06:00:00,TEA_0001,normal,0.4967,9972.3471,26596.1067,62.6151
2026-01-01T06:00:01,TEA_0001,normal,-0.2342,9953.1726,38240.1602,58.8372
2026-01-01T06:00:02,TEA_0001,normal,-0.4695,10108.512,12707.2788,52.6714
2026-01-01T06:00:03,TEA_0001,normal,0.242,9617.344,-3061.4729,52.1886
2026-01-01T06:00:04,TEA_0001,normal,-1.0128,10062.8495,7149.6991,47.9385
2026-01-01T06:00:05,TEA_0001,normal,1.4656,9954.8447,19344.1026,47.8763
2026-01-01T06:00:06,TEA_0001,normal,-0.5444,10022.1845,4112.5803,56.8785
2026-01-01T06:00:07,TEA_0001,normal,-0.6006,9941.6613,10978.6673,64.2614
2026-01-01T06:00:08,TEA_0001,normal,-0.0135,9788.4578,28781.8114,48.8958
2026-01-01T06:00:09,TEA_0001,normal,0.2089,9608.066,1897.6744,55.9843
2026-01-01T06:00:10,TEA_0001,normal,0.7385,10034.2737,17054.3965,53.4945
2026-01-01T06:00:11,TEA_0001,normal,-1.4785,9856.0312,12742.0154,60.2856
2026-01-01T06:00:12,TEA_0001,normal,0.3436,9647.392,22551.0496,53.0746
2026-01-01T06:00:13,TEA_0001,normal,-0.6769,10122.3353,31387.494,59.6564
2026-01-01T06:00:14,TEA_0001,normal,-0.8392,9938.1575,22640.7929,59.8777
2026-01-01T06:00:15,TEA_0001,normal,-0.4792,9962.8682,4670.8128,49.019
2026-01-01T06:00:16,TEA_0001,normal,0.8125,10271.248,17599.8735,60.0177
2026-01-01T06:00:17,TEA_0001,normal,0.3616,9870.976,23017.4451,62.6902
2026-01-01T06:00:18,TEA_0001,normal,-0.0358,10312.9287,-14246.8138,59.1095
2026-01-01T06:00:19,TEA_0001,normal,0.087,9940.1985,19647.0097,45.0622
2026-01-01T06:00:20,TEA_0001,normal,-0.2197,10071.4225,36973.6756,52.4086
2026-01-01T06:00:21,TEA_0001,normal,-0.8085,9899.6486,29942.5265,56.6438
2026-01-01T06:00:22,TEA_0001,normal,-0.5298,10102.6535,19713.4694,59.8432
2026-01-01T06:00:23,TEA_0001,normal,-0.7021,9934.4676,13598.6481,47.6824
2026-01-01T06:00:24,TEA_0001,normal,0.2961,10052.2111,18563.9182,53.8271
2026-01-01T06:00:25,TEA_0001,normal,-1.4154,9915.8709,14216.0685,50.9886
2026-01-01T06:00:26,TEA_0001,normal,-0.1613,10080.8102,42077.3238,55.8729
2026-01-01T06:00:27,TEA_0001,normal,0.2576,9985.1108,-5484.6402,54.8674
2026-01-01T06:00:28,TEA_0001,normal,0.0602,10492.6484,16095.4879,56.5077
2026-01-01T06:00:29,TEA_0001,normal,-0.0347,9766.2644,32785.2852,58.7597
2026-01-01T06:00:30,TEA_0001,normal,0.791,9818.1225,36034.9289,47.9907
2026-01-01T06:00:31,TEA_0001,normal,0.5869,10438.0911,6118.2959,52.1685
2026-01-01T06:00:32,TEA_0001,normal,0.0997,9899.3049,-883.2929,55.3428
2026-01-01T06:00:33,TEA_0001,normal,-1.0623,10094.7185,7007.1971,62.7497
2026-01-01T06:00:34,TEA_0001,normal,-0.7833,9935.5877,28668.9652,48.8457
2026-01-01T06:00:35,TEA_0001,normal,0.2275,10261.4286,-1593.5404,55.9232
2026-01-01T06:00:36,TEA_0001,normal,0.2599,10156.3646,3038.1161,48.3977
2026-01-01T06:00:37,TEA_0001,normal,0.5219,10059.3969,21631.1606,56.7322
2026-01-01T06:00:38,TEA_0001,normal,-0.68,10046.4507,22163.4059,51.4282
2026-01-01T06:00:39,TEA_0001,normal,1.8658,10094.7666,3608.7063,58.2828
2026-01-01T06:00:40,TEA_0001,normal,-0.9747,10157.4169,32982.4447,50.8966
2026-01-01T06:00:41,TEA_0001,normal,0.9634,10082.5562,28775.752,64.484
2026-01-01T06:00:42,TEA_0001,normal,-0.2454,9849.2528,7381.0696,50.9209
2026-01-01T06:00:43,TEA_0001,normal,-0.0771,10068.2304,21958.635,59.1359
2026-01-01T06:00:44,TEA_0001,normal,0.013,10290.7068,15191.7896,68.6008
2026-01-01T06:00:45,TEA_0001,normal,0.6257,9828.5685,5113.8438,57.4124
2026-01-01T06:00:46,TEA_0001,normal,-0.2235,10142.8001,24415.4703,54.6359
2026-01-01T06:00:47,TEA_0001,normal,-0.8468,9697.0306,12918.5631,59.282
2026-01-01T06:00:48,TEA_0001,normal,0.2141,9750.8522,20664.7616,56.9266
2026-01-01T06:00:49,TEA_0001,normal,-0.8839,10030.745,19227.609,49.2851
2026-01-01T06:00:50,TEA_0001,normal,0.3578,10112.1569,32038.1405,60.269
2026-01-01T06:00:51,TEA_0001,normal,-1.3777,9812.435,24937.9408,57.5689
2026-01-01T06:00:52,TEA_0001,normal,0.515,10770.5463,25636.1314,60.6778
2026-01-01T06:00:53,TEA_0001,normal,0.954,10130.2783,14559.1344,58.7948
2026-01-01T06:00:54,TEA_0001,normal,-0.7728,9952.6363,12432.9557,55.4094
2026-01-01T06:00:55,TEA_0001,normal,2.3147,9626.547,27078.2524,46.9364
2026-01-01T06:00:56,TEA_0001,normal,-0.4719,10217.7901,19303.5002,49.6113
2026-01-01T06:00:57,TEA_0001,normal,-0.7153,10135.9195,9370.4171,56.0823
2026-01-01T06:00:58,TEA_0001,normal,0.0456,9869.6799,45299.3011,58.1696
2026-01-01T06:00:59,TEA_0001,normal,-2.0251,10037.2909,10227.6692,59.2622
2026-01-01T06:01:00,TEA_0001,normal,-0.7925,9977.0527,24812.341,59.3288
2026-01-01T06:01:01,TEA_0001,normal,-1.2003,9933.0998,12563.1836,51.7334
